nohup: ignoring input
Using cuda
[train] Loaded 7568 samples (Pe=[0, 10])
[dev] Loaded 932 samples (Pe=[0, 10])
[test] Loaded 968 samples (Pe=[0, 10])
---- Training ----
Epoch 1/200 | Train=0.0495 | Dev=0.0382
Epoch 2/200 | Train=0.0355 | Dev=0.0302
Epoch 3/200 | Train=0.0289 | Dev=0.0243
Epoch 4/200 | Train=0.0228 | Dev=0.0199
Epoch 5/200 | Train=0.0175 | Dev=0.0140
Epoch 6/200 | Train=0.0131 | Dev=0.0104
Epoch 7/200 | Train=0.0098 | Dev=0.0075
Epoch 8/200 | Train=0.0076 | Dev=0.0057
Epoch 9/200 | Train=0.0059 | Dev=0.0045
Epoch 10/200 | Train=0.0050 | Dev=0.0038
Epoch 11/200 | Train=0.0043 | Dev=0.0033
Epoch 12/200 | Train=0.0039 | Dev=0.0029
Epoch 13/200 | Train=0.0036 | Dev=0.0028
Epoch 14/200 | Train=0.0033 | Dev=0.0025
Epoch 15/200 | Train=0.0031 | Dev=0.0023
Epoch 16/200 | Train=0.0029 | Dev=0.0022
Epoch 17/200 | Train=0.0028 | Dev=0.0021
Epoch 18/200 | Train=0.0026 | Dev=0.0020
Epoch 19/200 | Train=0.0024 | Dev=0.0020
Epoch 20/200 | Train=0.0024 | Dev=0.0018
Epoch 21/200 | Train=0.0022 | Dev=0.0018
Epoch 22/200 | Train=0.0021 | Dev=0.0018
Epoch 23/200 | Train=0.0020 | Dev=0.0018
Epoch 24/200 | Train=0.0020 | Dev=0.0017
Epoch 25/200 | Train=0.0019 | Dev=0.0017
Epoch 26/200 | Train=0.0017 | Dev=0.0017
Epoch 27/200 | Train=0.0017 | Dev=0.0018
Epoch 28/200 | Train=0.0016 | Dev=0.0017
Epoch 29/200 | Train=0.0016 | Dev=0.0016
Epoch 30/200 | Train=0.0015 | Dev=0.0017
Epoch 31/200 | Train=0.0015 | Dev=0.0017
Epoch 32/200 | Train=0.0014 | Dev=0.0017
Epoch 33/200 | Train=0.0014 | Dev=0.0018
Epoch 34/200 | Train=0.0013 | Dev=0.0017
Epoch 35/200 | Train=0.0013 | Dev=0.0017
Epoch 36/200 | Train=0.0012 | Dev=0.0017
